category,name,price_text,product_url,image_url
Ceiling Fans,Festiva HS Decorative Ceiling Fan,,https://havells.com/fans/ceiling-fans/festiva-hs-decorative-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcfee1pcu48_2__1_1.jpg
Ceiling Fans,Enticer Art HS Decorative Ceiling Fan,,https://havells.com/fans/ceiling-fans/enticer-art-hs-decorative-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhceae1flb48_base_2_1.jpg
Ceiling Fans,Andria Neo Decorative Ceiling Fan,,https://havells.com/fans/ceiling-fans/andria-neo-decorative-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcade1sls48_base_1.jpg
Ceiling Fans,Samraat Neo Regular Ceiling Fan,,https://havells.com/fans/ceiling-fans/samraat-neo-regular-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/s/a/samraat_ew_base_1_1_1.jpg
Ceiling Fans,Thrill Decor Regular Ceiling Fan,,https://havells.com/fans/ceiling-fans/thrill-decor-regular-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/t/h/thrill_brown_1.jpg
Ceiling Fans,EPIC Underlight BLDC+ Ceiling Fan,,https://havells.com/fans/ceiling-fans/epic-underlight-bldc-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/e/p/epic_ul_denim_blue_cf_1__1.jpg
Ceiling Fans,EP Trendy ES Special Finish Ceiling Fan,,https://havells.com/fans/ceiling-fans/ep-trendy-es-special-finish-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhctr1sabr48_star_1_1.jpg
Ceiling Fans,Amaya BLDC Ceiling Fan,,https://havells.com/fans/ceiling-fans/amaya-bldc-ceiling-fan-fhcaye5wht56.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcaye5wht56.jpg
Ceiling Fans,Stealth BLDC Ceiling Fan,,https://havells.com/fans/ceiling-fans/stealth-bldc-ceiling-fan-fhcbhe5cpg48.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcbhe5cpg48_1_.jpg
Ceiling Fans,Albus UL BLDC Smartsense Ceiling Fan,,https://havells.com/fans/ceiling-fans/albus-ul-bldc-smartsense-ceiling-fan-fhclle4sbw52.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcll5ssbw52_base_1.jpg
Ceiling Fans,Orion ES Regular Ceiling Fan,,https://havells.com/fans/ceiling-fans/orion-es-regular-ceiling-fan-fhcore1bsn48.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcor1sbsn48_star_2.jpg
Ceiling Fans,Ambrose Neo Regular Ceiling Fan,,https://havells.com/fans/ceiling-fans/ambrose-neo-regular-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcnae1mbu48_base_1.jpg
Ceiling Fans,Epic Pro Wood BLDC Ceiling Fan,,https://havells.com/fans/ceiling-fans/epic-pro-wood-bldc-ceiling-fan-fhcppe5pmb48.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/e/p/epic_pro_pinewood_2__1_1.jpg
Ceiling Fans,Ambrose Décor Ceiling Fan,,https://havells.com/fans/ceiling-fans/ambrose-decor-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcdme1ivw48_base_1.jpg
Ceiling Fans,Epic Signia BLDC+ Ceiling Fan,,https://havells.com/fans/ceiling-fans/epic-signia-bldc-ceiling-fan-fhcps5sstg48-c.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcps5sstg48_1__1_2.jpg
Ceiling Fans,Epic Pro BLDC+ Ceiling Fan,,https://havells.com/fans/ceiling-fans/epic-pro-bldc-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcpp5smbl48_base_1.jpg
Ceiling Fans,Epic BLDC Ceiling Fan,,https://havells.com/fans/ceiling-fans/epic-bldc-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcpi5stbr48_base_1.jpg
Ceiling Fans,Florette All Weather BLDC+ Ceiling Fan,,https://havells.com/fans/ceiling-fans/florette-all-weather-bldc-ceiling-fan-fhcwhe4sbw52.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/b/a/base_1__4.jpg
Ceiling Fans,Epic BLDC Ceiling Fan,,https://havells.com/fans/ceiling-fans/epic-bldc-ceiling-fans.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcpi5swht48_base_1_1.jpg
Ceiling Fans,Epic Voice BLDC+ Ceiling Fan,,https://havells.com/fans/ceiling-fans/epic-voice-bldc-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/h/a/havells_epic_odv_pro_voice-smoke_brown_1__1.jpg
Ceiling Fans,Stealth Air BLDC+ Voice Ceiling Fan,,https://havells.com/fans/ceiling-fans/stealth-air-bldc-voice-ceiling-fan-fhcvce5pwt48.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/s/t/stealth_air_bldc_base.jpg
Ceiling Fans,Octet Underlight Special Finish Ceiling Fan,,https://havells.com/fans/ceiling-fans/octet-underlight-special-finish-ceiling-fan-fhcoue1bsn52.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcoue1bsn52_base.jpg
Ceiling Fans,Quickair Decorative Ceiling Fan,,https://havells.com/fans/ceiling-fans/quickair-decorative-ceiling-fan.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/b/l/blue.jpg
Ceiling Fans,Octet Special Finish Ceiling Fan,,https://havells.com/fans/ceiling-fans/octet-special-finish-ceiling-fan-fhcoue1aww52.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcoue1aww52_.jpg
Ceiling Fans,Stealth Air BLDC+ Ceiling Fan,,https://havells.com/fans/ceiling-fans/stealth-air-bldc-ceiling-fan-fhcbhe5pwt36p.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcbhe5pwt36p.jpg
Ceiling Fans,Florette BLDC+ Ceiling Fan,,https://havells.com/fans/ceiling-fans/florette-bldc-ceiling-fan-fhcfve5sbw52.html,https://havells.com/media/catalog/product/cache/bebb556ccaa04236261d8ba5676ddf4d/f/h/fhcfve5sbw52_base.jpg
